n	phi	x	color	ringidx	ringidxc
1	78	0	0	20	10
2	69	9	1	19	10
3	61	17	0	18	9
4	54	24	1	17	9
5	46	32	0	16	8
6	38	40	1	15	8
7	31	47	0	14	7
8	22	56	1	13	7
9	13	65	0	12	6
10	3	75	1	11	6
11	90	88	0	10	5
12	81	97	1	9	5
13	68	110	0	8	4
14	55	123	1	7	4
15	43	135	0	6	3
16	28	150	1	5	3
17	18	160	0	4	2
18	1	177	1	3	2
19	75	203	0	2	1
20	47	231	1	1	1
21	11	367	1	1	1
22	85	393	0	2	1
23	65	413	1	3	2
24	47	431	0	4	2
25	34	444	1	5	3
26	19	459	0	6	3
27	7	471	1	7	4
28	94	484	0	8	4
29	80	498	1	9	5
30	69	509	0	10	5
31	60	518	1	11	6
32	49	529	0	12	6
33	41	537	1	13	7
34	35	543	0	14	7

